transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2018-09-19,1.84,1.85,1.87,MSFT,106.12,2018-11-02,0.00000,116.00,10,3705,9,365,0.00,0.00,0.01,9.80,9.89,9.95,0.00000,0.00000,0.00000,0.56858,0.00000,0.00000,0.00000,0.02190,0.00000,1.589651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.671641,0.0000,8.8188,NULL,2018-11-02,1.85,NULL,NULL,2.47
2018-10-01,1.59,1.61,1.61,MSFT,108.68,2018-11-16,0.00000,120.00,48,16185,1,1063,0.00,0.00,0.01,11.25,11.32,11.45,0.00000,0.00000,0.00000,0.45287,0.00000,0.00000,0.00000,0.02210,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.151040,0.0000,10.2382,NULL,2018-11-16,1.61,NULL,NULL,4.08
2018-10-12,1.70,1.77,1.82,MSFT,103.07,2018-11-23,0.00000,115.00,10,2395,12,484,0.00,0.00,0.01,11.80,11.93,12.60,0.00000,1.69004,3.38009,0.14285,0.00000,0.00000,0.00000,0.02250,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170137,0.0000,11.9300,NULL,2018-11-23,1.77,NULL,NULL,5.85
2018-10-26,1.65,1.66,1.77,MSFT,106.78,2018-12-07,0.00000,113.00,146,4686,304,594,0.00,0.00,0.01,6.15,6.23,6.30,0.00000,0.54459,1.08918,0.55312,0.00000,0.74786,1.49571,0.02320,0.00000,0.138176,0.000002,0.000008,-0.000038,0.000000,0.000000,0.000000,-0.000038,0.284094,0.0000,6.2263,NULL,2018-12-07,1.66,NULL,NULL,7.51
2018-11-09,1.36,1.38,1.38,MSFT,98.17,2018-12-21,0.00000,115.00,129,28070,46,1354,0.00,0.00,0.01,16.75,16.83,16.95,0.00000,0.00000,0.00000,1.42779,0.00000,0.00000,0.00000,0.02410,0.00000,-1.550537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.217810,0.0000,16.8300,NULL,2018-12-21,1.38,NULL,NULL,8.89
2018-11-16,1.30,1.36,1.41,MSFT,100.28,2018-12-28,0.00000,115.00,4,4317,3,264,0.00,0.00,0.01,14.60,14.72,14.80,0.00000,0.00000,0.00000,0.84458,0.00000,0.00000,0.00000,0.02390,0.00000,0.023889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.777674,0.0000,14.7200,NULL,2018-12-28,1.36,NULL,NULL,10.25
2018-12-06,1.75,1.51,1.79,MSFT,107.42,2019-01-18,0.00000,115.00,359,48799,51,1143,0.00,0.00,0.01,7.10,7.58,7.80,0.00000,0.00000,0.00000,0.20061,0.00000,0.00000,0.00000,0.02400,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206922,0.0000,7.5800,NULL,2019-01-18,1.51,NULL,NULL,11.76
2018-12-14,1.46,1.40,1.65,MSFT,106.99,2019-01-25,0.00000,113.00,6,895,1,57,0.00,0.00,0.01,5.85,6.01,6.10,0.00000,0.00000,0.00000,0.28647,0.00000,0.00000,0.00000,0.02360,0.00000,0.023608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287481,0.0000,6.0100,NULL,2019-01-25,1.40,NULL,NULL,13.16
2018-12-20,1.50,1.62,2.08,MSFT,102.84,2019-02-01,0.00000,110.00,443,14209,71,445,0.00,0.00,0.01,7.10,7.16,7.20,0.00000,0.00000,0.00000,0.41571,0.00000,0.00000,0.00000,0.02410,0.00000,-2.121070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.427876,0.0000,7.1600,NULL,2019-02-01,1.62,NULL,NULL,14.78
2019-01-02,1.53,1.68,1.58,MSFT,108.10,2019-02-15,0.00000,110.00,1522,25911,98,2049,0.00,0.00,0.01,1.84,1.92,1.92,0.00000,0.88532,1.77063,0.16660,0.00000,0.00000,0.00000,0.02430,0.00000,8.434563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168218,0.0000,1.9242,NULL,2019-02-15,1.68,NULL,NULL,16.46
